#,Category,Qlik Sense Formula,Qlik Example,ThoughtSpot Equivalent,ThoughtSpot Example,Comments / Context,status
CL01,Conditional / Logical,"If(cond, then, else)","If(Revenue > 1000, 'High', 'Low')",if condition then val1 else val2,if revenue > 1000 then 'High' else 'Low',ThoughtSpot uses keyword syntax (if/then/else). Qlik uses a function call If(). Both support chained else-if.,ok
CL02,Conditional / Logical,"If(c1,v1, If(c2,v2, v3))","If(Rev>100000,'Plat', If(Rev>50000,'Gold','Silver'))",if c1 then v1 else if c2 then v2 else v3,if revenue>100000 then 'Platinum' else if revenue>50000 then 'Gold' else 'Silver',Nested conditionals. ThoughtSpot uses chained else-if keywords; Qlik nests If() calls.,ok
CL03,Conditional / Logical,"If(IsNull(expr), fallback, expr)","If(IsNull(Discount), 0, Discount)","ifnull(col, fallback)","ifnull(discount, 0)",ThoughtSpot has a dedicated ifnull() for null replacement in one call. Qlik requires wrapping IsNull() inside If().,ok
CL04,Conditional / Logical,IsNull(expr),IsNull(Discount),isnull(col),isnull(discount),Direct equivalent. Both return true/1 when the value is null.,ok
CL05,Conditional / Logical,Not IsNull(expr),Not IsNull(Discount),not isnull(col),not isnull(discount),Direct equivalent. Both check for non-null values using a not prefix.,ok
CL06,Conditional / Logical,"Match(expr, val1, val2, ...)","Match(Region, 'West', 'East')","col in (val1, val2, ...)","region in ('West', 'East')",Qlik Match() returns position of match (1-based). ThoughtSpot uses the 'in' operator for membership testing — simpler and more readable.,ok
CL07,Conditional / Logical,"Not Match(expr, val1, val2)","Not Match(Region, 'West', 'East')","col not in (val1, val2, ...)","region not in ('West', 'East')",ThoughtSpot uses 'not in' operator directly. Qlik uses Not around Match().,ok
CL08,Conditional / Logical,"Mixmatch(expr, val1, val2)","Mixmatch(region, 'west', 'WEST')","lower(col) in (lower(val1), ...)",lower(region) in ('west'),Qlik Mixmatch is case-insensitive Match. ThoughtSpot uses lower() on both sides to simulate.,ok
CL09,Conditional / Logical,"WildMatch(expr, pattern)","WildMatch(ProductName, 'Pro*')","contains(col, substr)","contains(product_name, 'Pro')",Qlik supports wildcard patterns with *. ThoughtSpot uses contains() for substring checks — no wildcard syntax in formulas.,ok
CL10,Conditional / Logical,"Pick(n, val1, val2, ...)","Pick(2, 'Low', 'Mid', 'High')",if n=1 then val1 else if n=2 then val2 ...,if tier=1 then 'Low' else if tier=2 then 'Mid' else 'High',Qlik Pick() selects the nth value from a list. ThoughtSpot has no Pick() — replicate with chained if/then/else.,ok
CL11,Conditional / Logical,and,Region='West' and Revenue > 1000,and,region = 'West' and revenue > 1000,Direct equivalent. Boolean AND operator — both conditions must be true.,ok
CL12,Conditional / Logical,or,Region='West' or Region='East',or,region = 'West' or region = 'East',Direct equivalent. Boolean OR operator — at least one condition must be true.,ok
CL13,Conditional / Logical,not,not (Region='West'),not,not (region = 'West'),Direct equivalent. Negates a boolean condition.,ok
SA01,Set Analysis,Sum({1} expr),Sum({1} Revenue),"group_aggregate(sum(col), {}, {})","group_aggregate(sum(revenue), {}, {})",Qlik {1} ignores ALL user selections (grand total). ThoughtSpot group_aggregate with empty groupings/filters achieves the same result.,ok
SA02,Set Analysis,Sum({$} expr),Sum({$} Revenue),sum(col),sum(revenue),Qlik {$} is the current selection — the default. ThoughtSpot always uses the current filter context by default.,ok
SA03,Set Analysis,Sum({<Field={'Val'}>} expr),Sum({<Region={'West'}>} Revenue),"group_aggregate(sum(col), {dim}, {col='val'})","group_aggregate(sum(revenue), {region}, {region = 'West'})",Both allow hardcoded filter overrides. Qlik uses Set Expression {}. ThoughtSpot uses group_aggregate's third filter argument.,ok
SA04,Set Analysis,Sum({<Field -= {'Val'}>} expr),Sum({<Region -= {'South'}>} Revenue),"group_aggregate(sum(col), query_groups(), query_filters() - {filter})","group_aggregate(sum(revenue), query_groups(), query_filters())",Qlik -= removes a value from the current selection set. ThoughtSpot has no exact -= syntax but query_filters() can be combined to control filter scope.,ok
SA05,Set Analysis,Sum({<Field += {'Val'}>} expr),Sum({<Region += {'Central'}>} Revenue),"group_aggregate(sum(col), query_groups() + {dim}, query_filters())","group_aggregate(sum(revenue), query_groups() + {region}, query_filters())",Qlik += adds a value to the current selection. ThoughtSpot uses query_groups() + {attr} to extend grouping scope.,ok
SA06,Set Analysis,Sum({$<Field={'Val'}>} expr),Sum({$<Year={2024}>} Revenue),"group_aggregate(sum(col), query_groups(), {col = val})","group_aggregate(sum(revenue), query_groups(), {year = 2024})",Qlik {$<>} applies an override on top of current selections. ThoughtSpot uses group_aggregate with query_groups() to inherit dims and a custom filter.,ok
SA07,Set Analysis,group_aggregate with query_groups(),N/A (ThoughtSpot concept),"group_aggregate(agg, query_groups(), query_filters())","group_aggregate(sum(revenue), query_groups(), query_filters())",ThoughtSpot-specific. query_groups() and query_filters() inherit the current search's dimensions and filters. No direct Qlik equivalent.,ok
GA01,Cross-Level Aggregation,"Aggr(Sum(measure), attr)","Aggr(Sum(Revenue), CustomerID)","group_sum(measure, attr)","group_sum(revenue, customer_id)",Both compute aggregation at a different grain. Qlik creates a virtual table with Aggr(); ThoughtSpot uses group_sum() directly.,ok
GA02,Cross-Level Aggregation,"Aggr(Avg(measure), attr)","Aggr(Avg(Revenue), Region)","group_average(measure, attr)","group_average(revenue, region)",Qlik uses Aggr() wrapper around Avg(). ThoughtSpot has a dedicated group_average() function.,ok
GA03,Cross-Level Aggregation,"Aggr(Count(measure), attr)","Aggr(Count(OrderID), Region)","group_count(measure, attr)","group_count(order_id, region)",Qlik uses Aggr() wrapper around Count(). ThoughtSpot has a dedicated group_count() function.,ok
GA04,Cross-Level Aggregation,"Aggr(Max(measure), attr)","Aggr(Max(Revenue), Region)","group_max(measure, attr)","group_max(revenue, region)",Qlik uses Aggr() wrapper around Max(). ThoughtSpot has a dedicated group_max() function.,ok
GA05,Cross-Level Aggregation,"Aggr(Min(measure), attr)","Aggr(Min(Revenue), Region)","group_min(measure, attr)","group_min(revenue, region)",Qlik uses Aggr() wrapper around Min(). ThoughtSpot has a dedicated group_min() function.,ok
GA06,Cross-Level Aggregation,"Aggr(Stdev(measure), attr)","Aggr(Stdev(Revenue), Region)","group_stddev(measure, attr)","group_stddev(revenue, region)",Qlik uses Aggr() around Stdev(). ThoughtSpot has group_stddev() as a direct function.,ok
GA07,Cross-Level Aggregation,"Aggr(Count(DISTINCT m), attr)","Aggr(Count(DISTINCT CustomerID), Region)","group_unique_count(measure, attr)","group_unique_count(customer_id, region)",ThoughtSpot has group_unique_count() natively. Qlik wraps Count(DISTINCT ...) inside Aggr().,ok
GA08,Cross-Level Aggregation,"Max(Aggr(Sum(m), attr))","Max(Aggr(Sum(Revenue), CustomerID))","max(group_sum(measure, attr))","max(group_sum(revenue, customer_id))",Nested aggregation — find max across customer totals. ThoughtSpot supports direct nesting; Qlik wraps Aggr() inside outer aggregation.,ok
GA09,Cross-Level Aggregation,"Avg(Aggr(Count(m), attr))","Avg(Aggr(Count(OrderID), CustomerID))","average(group_count(measure, attr))","average(group_count(order_id, customer_id))",Average orders per customer. ThoughtSpot nests group_count() inside average(); Qlik wraps Aggr() inside Avg().,ok
CU01,Cumulative,"RangeSum(Above(Sum(expr),0,RowNo()))","RangeSum(Above(Sum(Revenue),0,RowNo()))","cumulative_sum(measure, attr)","cumulative_sum(revenue, order_date)",Running total. ThoughtSpot has dedicated cumulative_sum(). Qlik combines RangeSum() + Above().,ok
CU02,Cumulative,"RangeAvg(Above(Avg(expr),0,RowNo()))","RangeAvg(Above(Avg(Revenue),0,RowNo()))","cumulative_average(measure, attr)","cumulative_average(revenue, order_date)",Running average. ThoughtSpot provides cumulative_average() natively. Qlik builds it with RangeAvg() + Above().,ok
CU03,Cumulative,"RangeMax(Above(Max(expr),0,RowNo()))","RangeMax(Above(Max(Revenue),0,RowNo()))","cumulative_max(measure, attr)","cumulative_max(revenue, order_date)",Running maximum. ThoughtSpot has cumulative_max() natively. Qlik uses RangeMax() + Above().,ok
CU04,Cumulative,"RangeMin(Above(Min(expr),0,RowNo()))","RangeMin(Above(Min(Revenue),0,RowNo()))","cumulative_min(measure, attr)","cumulative_min(revenue, order_date)",Running minimum. ThoughtSpot has cumulative_min() natively. Qlik uses RangeMin() + Above().,ok
IR01,Inter-Record (Qlik-specific),"Above(expr, offset)","Above(Sum(Sales), 1)",No direct equivalent,Use period-over-period formulas or date_diff workarounds,Qlik returns value from N rows above current row. ThoughtSpot has no row-reference function — use date-based period comparisons.,ok
IR02,Inter-Record (Qlik-specific),"Below(expr, offset)","Below(Sum(Sales), 1)",No direct equivalent,No direct equivalent in ThoughtSpot,Qlik returns value from N rows below current row. ThoughtSpot has no row-level reference function.,ok
IR03,Inter-Record (Qlik-specific),"Top(expr, offset)",Top(Sum(Sales)),No direct equivalent,Use group_min or group_max as approximation,Qlik returns value from the top (first) row of the current column segment. No direct ThoughtSpot equivalent.,ok
IR04,Inter-Record (Qlik-specific),"Bottom(expr, offset)",Bottom(Sum(Sales)),No direct equivalent,Use group_max or ranking as approximation,Qlik returns value from the bottom (last) row. No direct ThoughtSpot equivalent.,ok
IR05,Inter-Record (Qlik-specific),Before(expr),Before(Sum(Sales)),No direct equivalent,No direct equivalent in ThoughtSpot,Qlik pivot-only — returns value from previous column in pivot table. ThoughtSpot has no column-reference inter-record function.,ok
IR06,Inter-Record (Qlik-specific),After(expr),After(Sum(Sales)),No direct equivalent,No direct equivalent in ThoughtSpot,Qlik pivot-only — returns value from next column. No ThoughtSpot equivalent.,ok
IR07,Inter-Record (Qlik-specific),First(expr),First(Sum(Sales)),No direct equivalent,Use group_min with date ordering as approximation,Qlik returns value from the first column of current pivot row segment. No ThoughtSpot equivalent.,ok
IR08,Inter-Record (Qlik-specific),Last(expr),Last(Sum(Sales)),No direct equivalent,Use group_max with date ordering as approximation,Qlik returns value from last column of current pivot row. No ThoughtSpot equivalent.,ok
IR09,Inter-Record (Qlik-specific),Column(n),Column(2),No direct equivalent,Reference the measure column by name directly,Qlik returns value of the nth measure column in a straight table. ThoughtSpot has no column-index reference — use named columns.,ok
IR10,Inter-Record (Qlik-specific),RowNo(),RowNo(),No direct equivalent,No direct equivalent in ThoughtSpot,Qlik returns current row number in chart table. ThoughtSpot has no RowNo() concept in formula context.,ok
IR11,Inter-Record (Qlik-specific),NoOfRows(),NoOfRows(),count(col),count(order_id),Qlik returns total row count of current chart segment. ThoughtSpot's count() on a key column approximates total row count.,ok
SC01,Script / Load (Qlik-specific),"Peek(field, row, table)","Peek('Balance', -1, 'Transactions')",No direct equivalent,Handle in data pipeline/ETL layer before loading into ThoughtSpot,Qlik script function that looks up a previously loaded row's value. ThoughtSpot formulas operate on already-loaded data — handle row-lookups in ETL.,ok
SC02,Script / Load (Qlik-specific),"Lookup(ret_fld, match_fld, match_val, table)","Lookup('Price', 'ProductID', ProductID, 'Products')",No direct equivalent,Join tables in the data model layer instead,Qlik script VLOOKUP across tables. ThoughtSpot handles multi-table lookups through data model/worksheet joins — not in formula syntax.,ok
SC03,Script / Load (Qlik-specific),Previous(expr),Previous(Revenue),No direct equivalent,Handle sequential row logic in ETL before loading,Qlik script function returning previous row's value during data load. ThoughtSpot has no sequential row reference in formula context.,ok
SC04,Script / Load (Qlik-specific),"Exists(field, expr)","Exists(CustomerID, CustomerID)",No direct equivalent,Handle in data model — use JOINs or filters,"Qlik script checks if a value exists in a previously loaded field. In ThoughtSpot, use data model joins or worksheet-level filters.",ok
SC05,Script / Load (Qlik-specific),"ApplyMap(mapname, expr, default)","ApplyMap('CountryMap', CountryCode, 'Unknown')",if col = 'val1' then 'mapped1' else if ...,if country_code = 'US' then 'United States' else 'Other',Qlik script maps values using a mapping table. ThoughtSpot replicates with if/then/else chains or pre-maps in the data pipeline.,ok
SC06,Script / Load (Qlik-specific),"MapSubString(mapname, expr)","MapSubString('CodeMap', ProductCode)","replace(col, old, new)","replace(product_code, 'OLD', 'NEW')",Qlik replaces substrings using a mapping table. ThoughtSpot's replace() substitutes fixed values; for complex mappings use ETL.,ok
SC07,Script / Load (Qlik-specific),"FieldValue(field, n)","FieldValue('Region', 1)",No direct equivalent,No direct equivalent in ThoughtSpot formulas,Qlik returns the nth distinct value of a field. ThoughtSpot has no field-enumeration function in formula context.,ok
SC08,Script / Load (Qlik-specific),"FieldIndex(field, value)","FieldIndex('Region', 'West')",No direct equivalent,No direct equivalent in ThoughtSpot formulas,Qlik returns the position of a value in a field's value list. No ThoughtSpot equivalent.,ok
D01,Date,Year(date),Year(OrderDate),year(date_col),year(order_date),Direct equivalent. Both extract the 4-digit year from a date column.,ok
D02,Date,Month(date),Month(OrderDate),month(date_col),month(order_date),Qlik returns month name (e.g. 'Jan'). ThoughtSpot returns numeric month (1-12) by default.,ok
D03,Date,Day(date),Day(OrderDate),day(date_col),day(order_date),Direct equivalent. Both extract the day of month (1-31).,ok
D04,Date,Quarter(date),Quarter(OrderDate),quarter(date_col),quarter(order_date),Direct equivalent. Both return quarter number (1-4).,ok
D05,Date,Week(date),Week(OrderDate),week_number_of_year(date_col),week_number_of_year(order_date),Both return ISO week number. Naming differs: Qlik uses Week(); ThoughtSpot uses week_number_of_year().,ok
D06,Date,Weekday(date),Weekday(OrderDate),day_of_week(date_col),day_of_week(order_date),"Qlik returns a number (0=Mon, 6=Sun). ThoughtSpot returns the day name (e.g. 'Monday').",ok
D07,Date,WeekYear(date),WeekYear(OrderDate),year(date_col),year(order_date),Qlik returns the year the ISO week belongs to (can differ near year boundaries). ThoughtSpot year() returns calendar year — may differ for week 53.,ok
D08,Date,Hour(time),Hour(Timestamp),hour(date_col),hour(order_timestamp),Direct equivalent. Both extract the hour (0-23) from a datetime column.,ok
D09,Date,Minute(time),Minute(Timestamp),minute(date_col),minute(order_timestamp),Direct equivalent. Both extract the minute (0-59).,ok
D10,Date,Second(time),Second(Timestamp),second(date_col),second(order_timestamp),Direct equivalent. Both extract seconds (0-59).,ok
D11,Date,Today(),Today(),today(),today(),Direct equivalent. Both return today's date with no time component.,ok
D12,Date,Now(),Now(),now(),now(),Direct equivalent. Both return the current date and time as a timestamp.,ok
D13,Date,MonthStart(date),MonthStart(OrderDate),start_of_month(date_col),start_of_month(order_date),Both return the first day of the month. Different naming but identical behavior.,ok
D14,Date,MonthEnd(date),MonthEnd(OrderDate),No direct equivalent,"add_days(add_months(start_of_month(date), 1), -1)",Qlik has built-in MonthEnd(). ThoughtSpot has no end-of-month function — workaround: start of next month minus 1 day.,ok
D15,Date,QuarterStart(date),QuarterStart(OrderDate),start_of_quarter(date_col),start_of_quarter(order_date),Direct equivalent behavior. Naming convention differs.,ok
D16,Date,QuarterEnd(date),QuarterEnd(OrderDate),No direct equivalent,"add_days(add_months(start_of_quarter(date), 3), -1)",Qlik has QuarterEnd(). ThoughtSpot has no equivalent — workaround: start of next quarter minus 1 day.,ok
D17,Date,YearStart(date),YearStart(OrderDate),start_of_year(date_col),start_of_year(order_date),Direct equivalent behavior. Different naming convention only.,ok
D18,Date,YearEnd(date),YearEnd(OrderDate),No direct equivalent,"add_days(add_months(start_of_year(date), 12), -1)",Qlik has YearEnd(). ThoughtSpot has no equivalent — workaround: start of next year minus 1 day.,ok
D19,Date,WeekStart(date),WeekStart(OrderDate),start_of_week(date_col),start_of_week(order_date),Both return the start of the week. Naming differs; behavior is equivalent.,ok
D20,Date,WeekEnd(date),WeekEnd(OrderDate),No direct equivalent,"add_days(start_of_week(date), 6)",Qlik has WeekEnd(). ThoughtSpot workaround: add 6 days to start_of_week().,ok
D21,Date,"AddMonths(date, n)","AddMonths(Today(), -3)","add_months(date_col, n)","add_months(today(), -3)",Direct equivalent. Both add or subtract months. Use negative n to go backward.,ok
D22,Date,"AddYears(date, n)","AddYears(OrderDate, 1)","add_years(date_col, n)","add_years(order_date, 1)","ThoughtSpot has a native add_years(). No add_months(date,12) workaround needed.",corrected
D23,Date,"Age(date, ref_date)","Age(BirthDate, Today())",(today() - date_col) / 365,(today() - birth_date) / 365,Qlik Age() returns exact age in years. ThoughtSpot approximates age via date subtraction divided by 365.,ok
D24,Date,"NetworkDays(start, end)","NetworkDays(StartDate, EndDate)","diff_days(date1, date2)","diff_days(ship_date, order_date)",Qlik NetworkDays() excludes weekends and optionally holidays. ThoughtSpot date_diff() returns total calendar days only — no business day logic.,corrected
D25,Date,"Date(expr, format)","Date(OrderDate, 'YYYY-MM-DD')","to_date(col, format)","to_date(date_string, '%Y-%m-%d')",Both convert a value to a date. Format strings differ: Qlik uses 'YYYY-MM-DD'; ThoughtSpot uses strftime '%Y-%m-%d'.,ok
D26,Date,"Timestamp(expr, format)","Timestamp(Now(), 'YYYY-MM-DD hh:mm')","to_date(col, format)","to_date(ts_string, '%Y-%m-%d %H:%M')",Qlik Timestamp() formats a datetime as a string. ThoughtSpot uses to_date() for parsing strings into dates.,ok
D27,Date,DayStart(date),DayStart(OrderDate),"date_trunc(date_col, 'day')","date_trunc(order_date, 'day')",Qlik DayStart() returns midnight of the given date. ThoughtSpot date_trunc to 'day' is the equivalent.,verify
D28,Date,"MakeDate(year, month, day)","MakeDate(2024, 1, 15)","to_date(concat(to_string(y),'-',to_string(m),'-',to_string(d)), '%Y-%m-%d')","to_date(concat(to_string(2024),'-01-15'), '%Y-%m-%d')",Qlik has dedicated MakeDate() to construct a date from parts. ThoughtSpot workaround uses concat + to_date.,ok
D29,Date,"InYear(date, base_date, year_offset)","InYear(OrderDate, Today(), 0)",year(date_col) = year(today()),year(order_date) = year(today()),Qlik InYear() checks if a date falls in a relative year. ThoughtSpot replicates by comparing year() extractions.,ok
D30,Date,"InMonth(date, base_date, month_offset)","InMonth(OrderDate, Today(), 0)",year(date_col) = year(today()) and month(date_col) = month(today()),year(order_date)=year(today()) and month(order_date)=month(today()),Qlik InMonth() checks if a date is in the same month as the base. ThoughtSpot matches both year and month components.,ok
D31,Date,"InWeek(date, base_date, week_offset)","InWeek(OrderDate, Today(), 0)",start_of_week(date_col) = start_of_week(today()),start_of_week(order_date) = start_of_week(today()),Qlik InWeek() checks if a date is in the same week as the base. ThoughtSpot compares start_of_week() values.,ok
D32,Date,"InQuarter(date, base_date, qtr_offset)","InQuarter(OrderDate, Today(), 0)",start_of_quarter(date_col) = start_of_quarter(today()),start_of_quarter(order_date) = start_of_quarter(today()),Qlik InQuarter() checks if a date falls in the same quarter. ThoughtSpot compares start_of_quarter() values.,ok
D33,Date,"InYearToDate(date, base_date, year_offset)","InYearToDate(OrderDate, Today(), 0)",date_col >= start_of_year(today()) and date_col <= today(),order_date >= start_of_year(today()) and order_date <= today(),Qlik InYearToDate() checks if a date falls within the YTD window. ThoughtSpot uses a range comparison from start_of_year to today.,ok
D34,Date,date_diff (subtraction),Date(ShipDate) - Date(OrderDate),"diff_days(date1, date2)","diff_days(ship_date, order_date)",Qlik computes date difference by simple subtraction. ThoughtSpot uses the explicit date_diff() function. Both return days.,corrected
D35,Date,"MakeTime(h, m, s)","MakeTime(14, 30, 0)",No direct equivalent,Construct timestamp string and convert with to_date(),Qlik constructs a time value from hours/minutes/seconds. ThoughtSpot has no MakeTime() — build a string and parse with to_date().,ok
D36,Date,AddDays (via arithmetic),Date(OrderDate + 30),"add_days(date_col, n)","add_days(order_date, 30)",Qlik adds days via arithmetic (date + n). ThoughtSpot uses the explicit add_days() function.,ok
S01,String,Len(str),Len(ProductName),len(col),len(product_name),Direct equivalent. Both return the character length of the string.,ok
S02,String,Upper(str),Upper(Region),"sql_string_op('UPPER({0})', col)","sql_string_op('UPPER({0})', region)",ThoughtSpot has no native upper() in formula context; use sql_string_op to push UPPER to the warehouse (matches the Tableau converter).,corrected
S03,String,Lower(str),Lower(Region),"sql_string_op('LOWER({0})', col)","sql_string_op('LOWER({0})', region)",ThoughtSpot has no native lower() in formula context; use sql_string_op to push LOWER to the warehouse (matches the Tableau converter).,corrected
S04,String,Capitalize(str),Capitalize(name),No direct equivalent,"concat(upper(substr(name,1,1)), lower(substr(name,2,len(name)-1)))",Qlik Capitalize() converts to title case. ThoughtSpot has no built-in capitalize — combine upper() on first char and lower() on the rest.,ok
S05,String,Trim(str),Trim(CustomerName),trim(col),trim(customer_name),Direct equivalent. Removes leading and trailing whitespace.,ok
S06,String,LTrim(str),LTrim(text),No direct equivalent,No left-only trim in ThoughtSpot — use trim() for both sides,Qlik LTrim() removes only leading spaces. ThoughtSpot trim() removes both sides — no left-only trim available.,ok
S07,String,RTrim(str),RTrim(text),No direct equivalent,No right-only trim in ThoughtSpot — use trim() for both sides,Qlik RTrim() removes only trailing spaces. ThoughtSpot trim() removes both sides — no right-only trim available.,ok
S08,String,"Left(str, n)","Left(SKU, 4)","substr(col, 1, n)","substr(sku, 1, 4)",Qlik has dedicated Left(). ThoughtSpot uses substr() starting at position 1 to replicate Left().,ok
S09,String,"Right(str, n)","Right(Code, 3)","substr(col, len(col)-n+1, n)","substr(code, len(code)-2, 3)",Qlik has dedicated Right(). ThoughtSpot combines substr() and len() to extract trailing characters.,ok
S10,String,"Mid(str, start, n)","Mid(Name, 2, 5)","substr(col, start, n)","substr(name, 2, 5)",Direct equivalent (different name). Qlik Mid() maps exactly to ThoughtSpot substr(). Both are 1-indexed.,ok
S11,String,"Replace(str, old, new)","Replace(Name, 'Inc', 'LLC')","replace(col, old, new)","replace(name, 'Inc', 'LLC')",Direct equivalent. Both replace all occurrences of a substring.,ok
S12,String,"Index(str, substr, n)","Index(Email, '@')",No direct equivalent,Use contains() to check existence; no position function in ThoughtSpot,Qlik returns position of nth occurrence of a substring. ThoughtSpot has no substring-position function.,verify
S13,String,"SubField(str, delim, n)","SubField(FullName, ' ', 1)",No direct equivalent,Complex substr/len workaround required,Qlik splits a string on a delimiter and returns the nth token. ThoughtSpot has no token-split function.,ok
S14,String,"Concat(expr, delimiter) [aggregating]","Concat(ProductName, ', ')","concat(str1, str2, ...) [row-level]","concat(first_name, ' ', last_name)",DIFFERENT behavior: Qlik Concat() aggregates many row values into one string (like GROUP_CONCAT). ThoughtSpot concat() joins values within the same row — different use case.,ok
S15,String,"PurgeChar(str, chars)","PurgeChar(Phone, '()-')","replace(replace(replace(col,'(',''),')',''),'-','')","replace(replace(replace(phone,'(',''),')',''),'-','')",Qlik PurgeChar() removes a set of specified characters in one call. ThoughtSpot requires chained replace() calls — one per character.,ok
S16,String,"KeepChar(str, chars)","KeepChar(Phone, '0123456789')",No direct equivalent,Requires ETL/data prep to strip non-numeric characters,Qlik KeepChar() retains only specified characters. ThoughtSpot has no equivalent — handle in ETL.,ok
S17,String,"Repeat(str, n)","Repeat('*', 5)",No direct equivalent,No direct equivalent in ThoughtSpot,Qlik repeats a string n times. ThoughtSpot has no Repeat() function.,ok
S18,String,Ord(str),Ord('A'),No direct equivalent,No direct equivalent in ThoughtSpot,Qlik returns the ASCII code of the first character. ThoughtSpot has no Ord()/ASCII() function.,ok
S19,String,Chr(n),Chr(65),No direct equivalent,No direct equivalent in ThoughtSpot,Qlik converts an ASCII code to a character. ThoughtSpot has no Chr() function.,ok
S20,String,Hash128(expr),Hash128(CustomerID),No direct equivalent,Handle hashing in the ETL/data layer,Qlik generates a 128-bit hash of a value. ThoughtSpot has no hash function in formula context.,ok
S21,String,Hash256(expr),Hash256(CustomerID),No direct equivalent,Handle hashing in the ETL/data layer,Qlik generates a 256-bit hash (SHA-256). ThoughtSpot has no hash function in formulas.,ok
S22,String,"TextBetween(str, start_delim, end_delim)","TextBetween('[Hello]', '[', ']')",No direct equivalent,Complex substr/index workaround required,Qlik extracts text between two delimiter strings. ThoughtSpot requires complex substr logic.,ok
S23,String,"N/A — use WildMatch(str, 'prefix*')","WildMatch(Email, 'user*')","starts_with(col, prefix)","starts_with(email, 'user')","ThoughtSpot has dedicated starts_with(). Qlik uses WildMatch with * at end: WildMatch(str, 'prefix*').",ok
S24,String,"N/A — use WildMatch(str, '*.suffix')","WildMatch(Email, '*.com')","ends_with(col, suffix)","ends_with(email, '.com')","ThoughtSpot has dedicated ends_with(). Qlik uses WildMatch with * at start: WildMatch(str, '*.suffix').",ok
