Category,Property,Description,Agentic / Semantic Layer Importance,Human Importance,Agentic Importance,Snowflake SV Equivalent,Snowflake Notes / Pros & Cons,Databricks UC Equivalent,Databricks Notes / Pros & Cons,dbt MetricFlow Equivalent,Cube.dev Equivalent,Other Platform Notes
Column-Level,columns[].properties.aggregation,"Default aggregation function for a MEASURE column (SUM / COUNT / AVERAGE / MIN / MAX / COUNT_DISTINCT).","Governs how an agent aggregates a metric when no explicit aggregation is requested; prevents double-counting and incorrect roll-ups.","Medium — affects row totals and chart values users see","High — incorrect default aggregation produces silent wrong results at every agent query; one of the most impactful properties","Embedded in metrics[].expr (e.g. SUM(table.col))","Pro: Aggregation is explicit in SQL expression — self-contained. Con: Changing aggregation requires editing the expr string.","Embedded in measures[].expr (e.g. SUM(col))","Pro: Same SQL-expression approach; fully explicit. Con: No separate aggregation field to update.","measure.agg: sum | count | avg | min | max | count_distinct | median | percentile","cube.measures[].type: sum | count | avg | etc.","LookML: measure type; Power BI: measure DAX expression; AtScale: measure aggregation"
Column-Level,columns[].properties.is_hidden,"Hides a column from the ThoughtSpot search bar while keeping it available for formulas and joins.","Reduces noise for agents and users by hiding technical columns (FK keys; RLS anchors) that should not be queried directly.","High — directly controls what users see in the search panel; hiding FK clutter improves discoverability","High — agents should not attempt to query raw FK columns; hidden columns reduce mis-use risk","Not supported","Con: All dimensions/metrics in SV are visible to Cortex Analyst. Omit FK columns from the YAML entirely.","Not supported","Con: All dimensions/measures in UC MV are exposed to Genie. Omit unwanted columns from the YAML.","Not directly supported — omit from semantic_model to hide","cube.dimensions[].public: false — hides from API","LookML: hidden: yes; Power BI: isHidden; Cube: public: false"
Column-Level,columns[].properties.is_additive,"Marks a column as additive — explicitly allows summation across time for semi-additive models.","Ensures agents compute totals correctly on metrics like inventory balance or headcount that should not be summed across time periods.","Low — internal flag; users do not see it directly","High — without this flag agents may sum snapshot metrics (e.g. headcount) across time producing nonsensical totals","Not directly supported","Con: No is_additive flag. Semi-additive behavior must be encoded in metrics[].expr using NON ADDITIVE BY / window SQL.","window[].semiadditive: first or last (Experimental v1.1)","Pro: Native semi-additive support via window: config on measures — cleaner and more explicit than a flag.","measure.non_additive_dimension.window_choice: min or max","Not natively supported","LookML: no native semi-additive; custom SQL workaround; AtScale: semi-additive as first-class measure subtype; Power BI: semi-additive measure patterns via DAX"
Column-Level,columns[].properties.format_pattern,"Display format string for numbers and dates (e.g. #,##0.00 for currency; dd/MMM/yyyy for dates).","Controls how metric values are presented in natural-language responses; consistent formatting prevents agents from displaying raw floats where currency symbols are expected.","High — directly affects how values are displayed in reports and answers","Medium — agents benefit from format hints to present values correctly; incorrect format reduces response quality","Not supported","Con: No format property in SV YAML. Apply in the BI tool or via TO_CHAR() in a Snowflake view wrapper.","format: with type: number / currency / percentage and sub-properties (v1.1)","Pro: UC has a structured format: object with typed options including decimal_places and abbreviation. Con: Coarser than TS arbitrary format strings; custom date formats have no UC equivalent.","Not supported — formatting is BI-layer concern in dbt","cube.measures[].format: currency | percent | etc.","LookML: value_format or value_format_name; Power BI: formatString; Cube: format"
Column-Level,columns[].properties.currency_type.iso_code,"ISO currency code (e.g. USD / EUR) that adds a currency symbol and formatting to a measure.","Ensures agents and BI tools render monetary values with the correct currency symbol; prevents region ambiguity in multi-currency models.","High — users expect currency symbols on monetary values; absence causes confusion","Medium — agents benefit from currency hints to present monetary answers correctly","Not supported separately","Con: No iso_code field in SV YAML. Embed currency symbol in description or handle in the BI layer.","format: {type: currency, currency_code: USD} (v1.1)","Pro: Native currency format support in UC MV including currency_code. Pro: Controls both symbol and decimal formatting.","Not supported — BI-layer concern","cube.measures[].format: currency","LookML: value_format_name: usd; Power BI: formatString with currency"
Column-Level,columns[].properties.geo_config,"Assigns a geographic role to a column: latitude / longitude / state / zip / city / country.","Enables spatial queries and map visualizations; agents with geospatial reasoning can use geo_config to identify geographic columns.","High — enables map chart visualizations in ThoughtSpot UI; without it geo columns render as plain text","Low — most agents do not generate map queries; geo roles are rarely consumed programmatically","Not supported","Con: No geospatial column classification in SV YAML. Migrate as plain dimension with description noting the geo role.","Not supported","Con: No geospatial column metadata in UC MV; Genie has no map visualization driven by semantic layer geo roles.","Not supported","Not supported","Power BI: dataCategory (Country, City, PostalCode, Longitude, Latitude) — strong geo typing for map visuals"
Column-Level,columns[].properties.spotiq_preference,"Excludes a column from SpotIQ's automated AI-driven analysis (e.g. suppress raw lat/long or internal IDs).","Prevents agents from generating nonsensical automated insights on technical columns; controls signal quality of AI-generated analyses.","Medium — determines which columns appear in auto-generated SpotIQ insights; reduces noise","Low — SpotIQ is a ThoughtSpot-specific feature with no cross-platform equivalent","Not applicable","Con: Cortex Analyst has no SpotIQ-equivalent; exclusion is moot.","Not applicable","Con: Genie has no auto-analysis feature equivalent to SpotIQ.","Not applicable","Not applicable","ThoughtSpot-specific; no cross-platform equivalent"
Column-Level,columns[].properties.search_iq_preferred,"Flags a column as preferred in Search IQ / natural-language query suggestions.","Guides agents toward the most relevant fields when multiple semantically similar columns exist; improves precision of AI-generated queries.","High — preferred fields surface first in search suggestions; improves human discoverability","High — preference signal helps agents select the most relevant column when multiple similar options exist","Not supported directly","Con: Cortex Analyst relies on descriptions and synonyms for relevance ranking; no explicit preferred-field hint.","Not supported directly","Con: Genie uses display_name, synonyms, and comment for relevance — no explicit preferred flag.","Not supported — synonyms and descriptions carry this signal","Not supported — public: true (default) + descriptions carry this signal","LookML: no explicit preferred flag; Lightdash: tags for preferred columns"
Column-Level,columns[].properties.ai_context,"Free-text AI directive or description for Spotter — explains the column's business meaning and query caveats (e.g. 'Exclude nulls from averages for this metric').","The most important agentic property in ThoughtSpot. Provides the LLM with business context, calculation caveats, and query guidance that cannot be inferred from column names or aggregation type.","Low — not visible to users; internal AI directive","High — critical for accurate agent responses; the difference between correct metric interpretation and a plausible but wrong answer","Merged into description (no separate ai_context field)","Con: Semantic specificity is lost — Cortex Analyst treats this as documentation not an instruction. Con: Must be rewritten from directive to documentation form.","Merged into comment (no separate ai_context field)","Con: Same limitation — UC has no per-column AI instruction field. Genie reads comment as context but cannot distinguish description from instruction.","semantic_model.description + measure.description + dimension.description — all consumed by dbt Copilot and MCP server","cube.description + cube.meta (arbitrary hints for BYOLLM)","Snowflake: AI_SQL_GENERATION (view-level AI instruction); Atlan: README per asset (richest context); OpenMetadata: per-column description with vector embedding"
Column-Level,columns[].properties.custom_order,"Explicit sort order array for attribute dimension values (e.g. [USA, UK, France]).","Governs how agents sort categorical dimension values in responses; prevents alphabetical ordering from misrepresenting priority or business hierarchy.","High — category sort order is frequently important for human interpretation of charts and tables","Low — agents typically apply query-specified sort; custom_order is a display hint not a query constraint","Not supported","Con: No custom sort in SV YAML. Apply in the BI tool or via a Snowflake view wrapper with ORDER BY.","Not supported","Con: No custom sort in UC MV. Apply via CASE expression in the dimension's expr or in the Genie dashboard layer.","Not supported","Not supported","LookML: order: asc/desc on dimension; Power BI: sortByColumn — maps one column's sort to another column's values"
Column-Level,columns[].properties.default_date_bucket,"Default time granularity for date columns (DAILY / WEEKLY / MONTHLY / QUARTERLY / YEARLY / AUTO).","Tells agents the intended analysis granularity for a date dimension; without this agents may over-specify granularity leading to performance issues.","High — controls the default time grain in charts and queries; matches user expectations","Medium — agents benefit from a grain hint to avoid unnecessarily fine-grained queries on large time-series tables","Not supported","Con: Snowflake SV has no default granularity hint on time_dimensions. Agents choose granularity from query context.","Not supported","Con: UC has no default granularity on date dimensions. Agents should infer from column name or comment.","dimension.type_params.time_granularity defines the minimum grain (not default query grain)","Not supported","LookML: dimension_group timeframes list defines available grains; LookML does not set a single default"
Column-Level,columns[].synonyms[],"Alternative names recognized as equivalent to the column name (e.g. 'Revenue' also matches 'Sales' / 'Turnover').","Critical for NLP robustness; agents often receive business vocabulary that differs from technical column names. Synonyms expand the vocabulary agents can use to reach the correct column.","High — natural search terms users type that do not match the technical column name; dramatically improves search hit rate","High — without synonyms agents frequently fail to resolve the correct column when users phrase requests in business terms","synonyms[] on each dimension / time_dimension / metric entry","Pro: Directly consumed by Cortex Analyst for NL matching. Con: No synonym weighting — all synonyms are equal.","synonyms[] on each dimension and measure (up to 10; max 255 chars each — v1.1)","Pro: Consumed by Genie for NL understanding. Con: Up to 10 synonyms per field; no weighting.","dimension.label + multiple labels can be used for synonym coverage","Not natively supported — use title as primary alias","LookML: no native synonyms; Power BI: Q&A synonyms per table and column with linguistic schema; ThoughtSpot synonyms are the strongest query-time equivalent"
Column-Level,columns[].data_panel_column_groups,"Assigns the column to one or more named UI folders in the ThoughtSpot data panel.","Improves human navigability; for agents that introspect model structure folder names provide implicit domain classification.","High — controls how humans browse fields; good folder structure reduces time-to-insight","Low — agents query by name/synonym not by folder location; minimal effect on query accuracy","Not supported","Con: No grouping/folder concept in SV YAML. Agent introspection must rely on column names and descriptions alone.","Not supported","Con: No folder/panel structure in UC MV. Genie organises columns by dimension/measure type only.","dbt Explorer groups by semantic_model — no column-level folders","cube.views[].folders[] — named folder groups in views","LookML: group_label; Cube: views[].folders[]; Power BI: displayFolder per column"
Column-Level,columns[].properties.index_type,"Controls ThoughtSpot text-search indexing: full indexing (default) / PREFIX_ONLY / DONT_INDEX.","Search performance tuning; suppressing indexing on high-cardinality columns prevents ThoughtSpot search from bloating. No effect on agent SQL generation.","Medium — affects search autocomplete performance on high-cardinality string columns","Low — indexing is a ThoughtSpot-specific search hint; irrelevant to external agents generating SQL","Not applicable — ThoughtSpot-specific","Con: Dropped silently. Cortex Analyst does not use text-search indexes.","Not applicable — ThoughtSpot-specific","Con: Dropped silently. Databricks Genie resolves columns from YAML metadata not text indexes.","Not applicable","Not applicable","ThoughtSpot-specific feature with no cross-platform equivalent"
Formula,formulas[].id,"Unique identifier for a formula used to reference it from columns[].formula_id.","Internal reference key; ensures formulas are correctly linked to their column definitions. Agents do not consume this directly but correctness is a prerequisite for all formula-based metrics.","Low — internal reference; never visible to users","Low — an implementation detail that enables formula-column linking; agents interact with the result not the ID","Not applicable — SV embeds expressions directly in metrics[].expr","Not applicable — UC MV embeds expressions directly in measures[].expr","Not applicable — dbt uses measure.name as the reference identifier","Not applicable","No equivalent in any platform; other platforms reference formulas by name"
Formula,formulas[].name,"Display name of the formula — becomes the column display name in ThoughtSpot.","Human and agent-facing label for computed metrics. A descriptive formula name (e.g. 'Net Promoter Score' not 'NPS_CALC') improves agent query accuracy.","High — the label users see for calculated metrics in search and reports","High — formula names are the primary labels agents use to identify computed metrics; poor names cause query misses","name on the metrics[] entry","Pro: Column name and formula name are unified in SV. Con: Must be a valid Snowflake identifier.","name + display_name (human label — v1.1)","Pro: UC allows name (machine identifier) and display_name (human label) to differ. Con: More fields to maintain.","metric.name + metric.label (display name separate from identifier)","cube.measures[].name + cube.measures[].title","LookML: measure label; Power BI: measure name + description"
Formula,formulas[].expr,"ThoughtSpot formula expression using ThoughtSpot's formula language (sum, count_distinct, group_aggregate, moving_average, etc.).","The business logic layer of the semantic model. Agents depend on correct formula expressions to compute governed metrics consistently across all queries.","Low — formula syntax is technical; users see the result not the expression","High — formula expression correctness determines whether agents compute metrics correctly; a wrong expression produces plausible but incorrect results","metrics[].expr (Snowflake SQL expression)","Pro: Native Snowflake SQL is portable and transparent to any SQL tool. Con: ThoughtSpot-specific functions require translation; some cannot translate.","measures[].expr (Databricks SQL expression)","Pro: Native Databricks SQL (Spark SQL). Pro: Richer composition via MEASURE() references and FILTER (WHERE ...). Con: Same translation burden from TS formula language.","measure.expr (SQL expression over the underlying dbt model)","cube.measures[].sql (SQL expression)","LookML: measure sql; Power BI: measure DAX expression; AtScale: calculated member expression"
Parameter,parameters[].name,"Display name of a runtime parameter (e.g. 'Fiscal Year' / 'Region Filter').","Runtime context injection — allows agents to set analysis parameters dynamically (date ranges; scenario selectors) rather than requiring separate model versions per scenario.","High — users see and interact with parameters in the TS UI as dropdowns and sliders","Medium — agents can inject parameter values at query time enabling dynamic scenario analysis without separate models","Not supported — hard blocker","Con: No runtime parameter equivalent in SV YAML. All parameter-referencing formulas are omitted.","Not supported — hard blocker","Con: UC MV has no runtime parameter concept. No equivalent to ThoughtSpot's user-settable runtime variables.","metrics[].filter uses Jinja templating for dynamic conditions (closest equivalent)","Not supported natively; Cube.dev BYOLLM can inject context via meta","Power BI: slicers and calculation groups provide dynamic parameter-like behavior; LookML: user_attribute-driven dynamic SQL (Liquid templating)"
Parameter,parameters[].data_type,"Data type of the parameter (INT64 / DOUBLE / CHAR / DATE / BOOL).","Defines what kind of value the agent can inject at query time; type safety prevents agents from passing dates where integers are expected.","Low — data type validation is handled by the TS UI; transparent to users","Medium — type safety prevents agents from injecting invalid values that cause silent query errors","Not supported","Con: No equivalent in SV YAML.","Not supported","Con: No equivalent in UC MV.","Not applicable","Not applicable","No cross-platform equivalent for runtime parameter types"
Parameter,parameters[].default_value,"Default value used when no parameter override is provided.","Ensures agents get a sensible result when no parameter is explicitly set; prevents null-driven query failures on parameterized formulas.","Medium — determines the default view users see before adjusting parameters","Medium — prevents agents from querying parameterized formulas without a value and receiving null results","Not supported","Con: No equivalent in SV YAML.","Not supported","Con: No equivalent in UC MV.","Not applicable","Not applicable","No cross-platform equivalent"
Parameter,parameters[].list_config,"Restricts a parameter to a fixed list of allowed values.","Prevents agents from injecting invalid values; enables parameter values to surface in UI pickers and AI suggestions.","High — provides dropdown UI for users; eliminates free-text input errors","Low — agents can derive valid values from list but most platforms lack this concept entirely","Not supported","Con: No equivalent in SV YAML.","Not supported","Con: No equivalent in UC MV.","Not applicable","Not applicable","Power BI: slicer with specified values; LookML: parameter with allowed_values"
Parameter,parameters[].range_config,"Restricts a parameter to a numeric range (min / max / inclusive flags).","Validates that agent-supplied numeric parameters fall within a meaningful business range (e.g. discount between 0 and 100%).","Medium — provides slider UI with bounded range for users","Low — agents rarely check range metadata; most simply pass a value","Not supported","Con: No equivalent in SV YAML.","Not supported","Con: No equivalent in UC MV.","Not applicable","Not applicable","No strong cross-platform equivalent; LookML allows parameter with type: number"
Join,join.on,"Join condition expression: [FACT::FK] = [DIM::PK] (ThoughtSpot bracket notation).","Defines the data relationships agents traverse when combining dimensions and metrics across tables; incorrectly defined joins produce silently wrong results.","Low — humans do not see or write join conditions","High — join condition correctness is the single most impactful factor in agent query accuracy across tables","relationships[].relationship_columns pairs","Pro: Simple equality join pair — easy to validate. Con: Only equality joins on declared columns; no expression or function-based conditions.","joins[].on (full SQL boolean expression)","Pro: Full SQL in on: — supports functions, inequalities, compound conditions. Pro: More expressive than TS bracket notation.","Entity graph (MetricFlow resolves joins automatically via entity type matching)","cube.joins[].sql (SQL ON clause expression)","LookML: join sql_on; AtScale: relationship condition; Power BI: relationship from/to columns"
Join,join.type,"Join type: INNER / LEFT_OUTER / RIGHT_OUTER / OUTER.","Determines which rows are included when an agent queries across tables; wrong join type produces row count discrepancies.","Low — humans do not configure join types","High — INNER vs LEFT_OUTER directly changes row counts; a wrong join type causes systematic agent query errors that are hard to detect","Not supported (join type not declared in SV YAML)","Con: Cortex Analyst infers join semantics from schema; inability to specify LEFT vs INNER means outer-join semantics for optional dimensions may be wrong.","Implicit — UC MV always uses LEFT OUTER JOIN for all referenced joins","Pro: Consistent LEFT JOIN behavior — agents always see all primary fact rows. Con: No INNER join option for required relationships.","MetricFlow uses LEFT JOIN by default for all entity joins","cube.joins[].relationship determines join direction; all cube joins are LEFT JOINs","LookML: join type (left_outer / full_outer / inner / cross); AtScale: relationship type"
Join,join.cardinality,"Cardinality declaration: MANY_TO_ONE (most common for fact-to-dimension joins).","Helps ThoughtSpot's query engine avoid fan-out errors on incorrect join paths; an agent querying MANY_TO_ONE knows metrics are safe to aggregate.","Low — internal metadata; never seen by users","High — fan-out on wrong cardinality causes inflated metric values; agents need cardinality awareness to generate correct GROUP BY logic","primary_key on right_table implicitly declares ONE side","Pro: primary_key declaration acts as cardinality hint for Cortex Analyst. Con: No explicit MANY_TO_ONE / ONE_TO_ONE declaration; cardinality is inferred.","Not declared — UC infers cardinality from data and on: clause","Con: No cardinality metadata in UC MV. Agents receive no fan-out warning if a join is misconfigured.","entity type: primary / foreign defines cardinality (MetricFlow enforces this)","cube.joins[].relationship: many_to_one / one_to_many / one_to_one","LookML: relationship type per join (many_to_one / one_to_many); AtScale: relationship cardinality"
Table,model_tables[].alias,"Alternative name for a table when the same physical table appears more than once (self-join or role-playing dimension).","Enables role-playing dimension patterns (e.g. Order Date vs Ship Date from the same date table); agents can query both roles without join ambiguity.","Low — internal; transparent to users","Medium — role-playing dimensions without aliases cause agent confusion when similar column names exist on the same physical table","Multiple tables[] entries with distinct name: values (requires wrapper views for Cortex)","Pro: Each alias becomes an independent table entry. Con: Requires wrapper views to avoid Cortex Analyst column-name conflicts.","Multiple joins[] entries with distinct name: values","Pro: Nested join tree naturally supports multiple aliases for the same physical table.","entity.role disambiguates multiple instances of the same entity type","Not directly supported; use sql with aliased CTEs","LookML: from: and alias: on a join to use the same view under different names"
Table,"model_tables[].fqn (GUID)","The GUID of the ThoughtSpot table object — binds the model to physical tables.","Internal ThoughtSpot reference; not exposed to agents. Required for TML import/export fidelity; without correct GUIDs models fail to import.","Low — internal plumbing; never visible to users","Low — an implementation detail for TML management; agents interact with the resulting model not the GUID","base_table: {database / schema / table} — human-readable FQN","Pro: Human-readable FQN instead of opaque GUIDs. Pro: More portable and inspectable by agents.","source: and joins[].source use fully-qualified catalog.schema.table","Pro: Same human-readable FQN. Pro: Agents can read data lineage directly from the YAML.","model: ref('dbt_model_name') — human-readable model reference","cube.sql_table or cube.sql — human-readable table reference","All other platforms use human-readable table references; ThoughtSpot GUIDs are the exception"
